status,code,url
ORPHAN,4197,https://app.estateweb.gr/app/property/53782

KEEP,1565,https://app.estateweb.gr/app/property/54497
ORPHAN,4193,https://app.estateweb.gr/app/property/53778

KEEP,1846,https://app.estateweb.gr/app/property/54493
ORPHAN,4181,https://app.estateweb.gr/app/property/53766

KEEP,2006,https://app.estateweb.gr/app/property/54489
ORPHAN,4177,https://app.estateweb.gr/app/property/53762

KEEP,1532,https://app.estateweb.gr/app/property/54483
ORPHAN,4194,https://app.estateweb.gr/app/property/53779

KEEP,1771,https://app.estateweb.gr/app/property/54471
ORPHAN,4172,https://app.estateweb.gr/app/property/53757

KEEP,4878,https://app.estateweb.gr/app/property/54467
ORPHAN,4173,https://app.estateweb.gr/app/property/53758

KEEP,1653,https://app.estateweb.gr/app/property/54463
ORPHAN,4202,https://app.estateweb.gr/app/property/53787
